Age Group,Male,Female
0-14,"33,205,805","31,994,844"
15-24,"22,537,842","21,738,210"
25-54,"56,493,414","53,980,979"
55-64,"10,192,430","12,177,931"
65 and over,"7,954,795","10,304,489"
