Age Group,Male,Female
0-14,"2,696,379","2,592,450"
15-24,"1,700,442","1,636,401"
25-54,"4,641,842","4,789,101"
55-64,"1,110,481","1,288,056"
65 and over,"1,023,315","1,410,734"
