Age Group,Male,Female
0-14,"18,112,550","16,889,155"
15-24,"9,684,437","9,071,163"
25-54,"20,032,310","19,376,847"
55-64,"3,160,438","3,172,544"
65 and over,"2,213,539","2,411,457"
